time,open,high,low,close,EMA50,EMA200,VWAP,PEMA-Short,PEMA-Medium,PEMA-Long,Major Trend,Mid Trend,Minor Trend,,UT2,TRB,TC,PUT,PUC,ND,ND,NS,LVT,ST,ST1,ST2,ST3,ST4,SV,EU,EUF,ED,EDF,RUT,BCE1,SCE,SCE,BC,BC,SC,SC,TB,TB,TB,TB,,Strength band,Period High,Period Low,HV - High,HV - Low,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2019-02-13T09:15:00+05:30,347.58279198859964,347.58279198859964,322.08844709,333.499217285,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,344.79895914263915,349.0997413200218,350.3123178775692,351.71548710566344,351.421767494524,NaN,NaN,348.38673277433577,NaN,NaN,370.105683830158,NaN,351.8858015,351.92223701,351.157247965,363.2601753275,NaN,NaN,381.75602693,334.3901521211999,380.5577690512123,324.19431456344574,349.73613317962497,374.21762784979495,325.254638509455,NaN,1,347.58279198859964,347.58279198859964,322.08844709,333.499217285,350.97182802361647,350.97182802361647,322.08844709,337.6883120880498,0,0,0,0,NaN,NaN,39.06985063348122,70,70,30,30,79.38050405364586,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53009.54966677716,38979.22151365,53009.54966677716,-3.199337007390259,-0.9141610655851875,40,40,-40,-40
2019-02-14T09:15:00+05:30,340.5410046367998,340.5410046367998,320.92274577,327.7164018475,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,339.1047733775928,346.04497853823295,348.1603258747055,350.7743465073041,351.18589320947893,1,NaN,342.6084342781618,NaN,NaN,370.105683830158,NaN,347.58279198859964,351.33938635000004,351.157247965,355.12777865,NaN,NaN,380.5626753332,329.72671741809995,380.5577690512123,324.19431456344574,348.084164644875,373.796317498663,322.372011791087,NaN,NaN,340.5410046367998,340.5410046367998,320.92274577,327.7164018475,344.3300700558332,344.3300700558332,320.92274577,332.4302892227749,0,0,0,0,NaN,NaN,36.4426336485278,70,70,30,30,78.62263564034936,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52684.791451053155,27170.70532653,52684.791451053155,-20.894099434971867,-7.764106665033966,40,40,-40,-40
2019-02-15T09:15:00+05:30,334.12870324214987,334.18221666,327.84392611,331.33179399,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,336.51378024839516,343.9430950313425,346.5576085523526,350.0118934674098,350.98833998341445,NaN,NaN,342.6084342781618,NaN,NaN,370.105683830158,NaN,340.5410046367998,351.33938635000004,351.157247965,353.1151964625,NaN,NaN,378.177078150672,331.11931225333336,380.5577690512123,324.19431456344574,346.56743112112497,372.47390700804027,320.66095523420967,NaN,NaN,334.12870324214987,334.18221666,327.84392611,331.33179399,338.38017963930406,338.38017963930406,327.84392611,331.8716600005375,0,0,0,0,NaN,NaN,39.19553364368477,70,70,30,30,80.10230256792151,-0.08650794190360551,-0.08650794190360551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52661.98334024182,9538.22840687,52661.98334024182,-35.669857475705676,-15.524381001653152,40,40,-40,-40
2019-02-18T09:15:00+05:30,332.73024861607496,334.40075141,322.01557608,329.6652512525,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,334.23093724976343,341.90340306293643,344.9488126190333,349.2139859295702,350.7761699462909,NaN,NaN,342.6084342781618,NaN,NaN,370.105683830158,NaN,334.40075141,351.33938635000004,351.157247965,353.1971665625,NaN,NaN,375.8869048554451,328.6938595808333,380.5577690512123,324.19431456344574,345.224637014875,371.7058493733119,318.7434246564381,1,NaN,332.73024861607496,334.40075141,322.01557608,329.6652512525,335.1259198199208,335.1259198199208,322.01557608,329.7029568396437,0,0,0,0,NaN,NaN,38.370507307393076,70,70,30,30,80.73068798629187,-1.625055922854006,-1.625055922854006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52799.03789577881,20611.02860233,52799.03789577881,-47.1463020244246,-23.360447469196856,40,40,-40,-47.1463020244246
2019-02-19T09:15:00+05:30,331.19774993428746,332.14229806,321.35989355,325.84042345,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,331.43409931650893,339.6086916896598,343.1289660315063,348.2973756362537,350.5280530657308,1,NaN,340.73834813486127,NaN,NaN,370.105683830158,NaN,334.40075141,351.33938635000004,351.157247965,354.0987593925,NaN,NaN,373.6883384920273,326.4475383533333,380.5577690512123,324.19431456344574,343.89732506275004,371.44906194478364,316.34558818071645,1,NaN,331.19774993428746,332.14229806,321.35989355,325.84042345,332.41443832978223,332.41443832978223,321.35989355,327.6350912485718,0,0,0,0,NaN,NaN,36.47300259291088,70,70,30,30,80.32629988674137,-12.035334578115199,-12.035334578115199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52809.812840805986,26668.33209341,52809.812840805986,-57.064694464242805,-31.291836457353973,40,40,-40,-57.064694464242805
2019-02-20T09:15:00+05:30,328.51908669214373,340.95765498,328.51908669214373,332.70693096499997,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,331.8583765326726,338.62272587185123,342.1363912632676,347.6859856491457,350.35072846771357,NaN,NaN,340.73834813486127,NaN,NaN,370.105683830158,NaN,334.40075141,342.1186209893984,351.157247965,355.23708516,NaN,NaN,371.57771478314623,334.0612242123812,380.5577690512123,324.19431456344574,343.04766456662503,370.87788129405163,315.2174478391984,1,NaN,328.51908669214373,340.95765498,328.51908669214373,332.70693096499997,330.024764789177,340.95765498,328.51908669214373,332.67568983232184,0,0,0,0,NaN,NaN,42.01667005244184,70,70,30,30,81.18913105791663,-12.170356209656406,-12.170356209656406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54031.11053766732,88034.73238331,54031.11053766732,-62.34632689401585,-37.898404251251236,40,40,-40,-62.34632689401585
2019-02-21T09:15:00+05:30,330.6130088285719,334.94716656,330.6130088285719,332.788881495,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,332.1685448534484,337.7893195323011,341.2461522377183,347.10178548623804,350.1759837217164,NaN,NaN,340.73834813486127,NaN,NaN,370.105683830158,NaN,334.40075141,340.5113494734492,351.157247965,357.06754852750004,NaN,NaN,369.5515160226204,332.78301896119063,380.5577690512123,324.19431456344574,342.19481449600005,370.1844004454876,314.2052285465125,1,NaN,330.6130088285719,334.94716656,330.6130088285719,332.788881495,331.35022731074946,334.94716656,330.6130088285719,332.24051642803596,0,0,0,0,NaN,NaN,42.081631502712504,70,70,30,30,69.93991652013048,-13.114796650429343,-13.114796650429343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53505.33439847432,15595.53189796,53505.33439847432,-62.845117231089446,-42.52485939978066,40,40,-40,-62.845117231089446
2019-02-22T09:15:00+05:30,331.70094516178597,350.21015967,331.70094516178597,338.94505322500004,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,334.4273809772989,337.95442434554377,341.02699995079274,346.7819136328562,350.06423316951026,NaN,1,340.73834813486127,NaN,NaN,370.105683830158,NaN,334.40075141,337.0735754873496,351.157247965,364.61705541749996,NaN,NaN,367.6063652125156,340.28538601892865,380.5577690512123,324.19431456344574,341.69940611312506,369.5504477148785,313.84836451137164,1,NaN,331.70094516178597,350.21015967,331.70094516178597,338.94505322500004,331.79537186939274,350.21015967,331.70094516178597,338.139275804643,0,0,0,0,NaN,NaN,46.89482220555521,70,70,30,30,68.72597149087142,-12.884549350698924,-12.884549350698924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54289.89223224818,70037.14267674,54289.89223224818,-57.11426900653069,-44.13550692381544,40,40,-40,-57.11426900653069
2019-02-25T09:15:00+05:30,335.322999193393,343.14331559,335.12930495,338.8813008775,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,335.91202094403263,338.0868352786804,340.8226476580982,346.47208568166576,349.9529602113808,NaN,NaN,340.73834813486127,NaN,NaN,370.105683830158,NaN,334.40075141,335.56645272000003,351.157247965,362.0580580775,NaN,NaN,365.73902043481496,339.0513071391667,380.5577690512123,324.19431456344574,341.79365998750006,369.59310856134243,313.9942114136577,1,NaN,335.322999193393,343.14331559,335.12930495,338.8813008775,334.96732383701783,343.14331559,334.96732383701783,338.1192301527233,0,0,0,0,NaN,NaN,46.851400241573955,70,70,30,30,64.9283794153947,-13.533138747935949,-13.533138747935949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54660.769957897515,32581.51211598,54660.769957897515,-46.73575103866399,-42.72127531417578,40,40,-40,-46.73575103866399
2019-02-26T09:15:00+05:30,337.10215003544647,340.88478397,328.0989355,334.56471117499996,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,335.4629176876884,337.5836746924403,340.22665370732693,346.00512981865927,349.7998433055462,NaN,NaN,340.73834813486127,NaN,NaN,370.105683830158,NaN,334.40075141,335.56645272000003,351.157247965,359.5354766775,NaN,NaN,363.94636944822236,334.51614354833333,380.5577690512123,324.19431456344574,342.20619716650003,369.31073476054524,315.1016595724548,1,NaN,337.10215003544647,340.88478397,328.0989355,334.56471117499996,336.54327699487055,340.88478397,328.0989355,335.1626451701116,0,0,0,0,NaN,NaN,43.88819609648161,70,70,30,30,65.83505441457322,-13.737250970990337,-13.737250970990337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54730.635525016514,21953.43576623,54730.635525016514,-36.38845408576547,-39.688526553937805,40,40,-40,-40
